연도,월,일,요일,홈팀,원정팀,경기장,관중수
2021,10,30,토,롯데,LG,부산 사직 야구장,5855
2021,10,29,금,롯데,LG,부산 사직 야구장,2556
2021,10,28,목,한화,LG,대전한밭종합운동장,1543
2021,10,27,수,한화,LG,대전한밭종합운동장,1125
2021,10,26,화,한화,LG,대전한밭종합운동장,1011
2021,10,25,월,LG,롯데,서울 잠실 야구장,3249
2021,10,24,일,두산,LG,서울 잠실 야구장,3254
2021,10,24,일,두산,LG,서울 잠실 야구장,2862
2021,10,23,토,두산,LG,서울 잠실 야구장,3593
2021,10,21,목,LG,키움히어로즈,서울 잠실 야구장,1617
2021,10,20,수,LG,키움히어로즈,서울 잠실 야구장,1606
2021,10,19,화,LG,키움히어로즈,서울 잠실 야구장,1624
2021,10,17,일,NC,LG,창원NC파크,1175
2021,10,17,일,NC,LG,창원NC파크,2282
2021,10,16,토,NC,LG,창원NC파크,2317
2021,10,15,금,롯데,LG,부산 사직 야구장,1850
2021,10,14,목,롯데,LG,부산 사직 야구장,1663
2021,10,13,수,롯데,LG,부산 사직 야구장,1629
2021,10,12,화, SSG,LG,인천SSG 랜더스필드,0
2021,10,11,월,LG,KT,서울 잠실 야구장,0
2021,10,09,토,LG,KT,서울 잠실 야구장,0
2021,10,08,금,KIA,LG,광주-기아 챔피언스 필드,1249
2021,10,07,목,KIA,LG,광주-기아 챔피언스 필드,820
2021,10,06,수,LG, SSG,서울 잠실 야구장,0
2021,10,06,수,LG, SSG,서울 잠실 야구장,0
2021,10,05,화,LG, SSG,서울 잠실 야구장,0
2021,10,03,일,키움히어로즈,LG,서울고척스카이돔,0
2021,10,02,토,키움히어로즈,LG,서울고척스카이돔,0
2021,10,01,금,LG,두산,서울 잠실 야구장,0
2021,09,30,목,LG,두산,서울 잠실 야구장,0
2021,09,28,화,LG,롯데,서울 잠실 야구장,0
2021,09,26,일,KT,LG,수원케이티위즈파크,0
2021,09,25,토,KT,LG,수원케이티위즈파크,0
2021,09,24,금,LG,삼성,서울 잠실 야구장,0
2021,09,23,목,LG,삼성,서울 잠실 야구장,0
2021,09,22,수,한화,LG,대전한밭종합운동장,2585
2021,09,21,화,한화,LG,대전한밭종합운동장,2187
2021,09,19,일,LG,KIA,서울 잠실 야구장,0
2021,09,18,토,LG,KIA,서울 잠실 야구장,0
2021,09,17,금,NC,LG,창원NC파크,0
2021,09,16,목,NC,LG,창원NC파크,690
2021,09,15,수,삼성,LG,대구 삼성 라이온즈 파크,2214
2021,09,14,화,삼성,LG,대구 삼성 라이온즈 파크,2163
2021,09,12,일,두산,LG,서울 잠실 야구장,0
2021,09,12,일,두산,LG,서울 잠실 야구장,0
2021,09,11,토,두산,LG,서울 잠실 야구장,0
2021,09,10,금,LG,한화,서울 잠실 야구장,0
2021,09,09,목,LG,한화,서울 잠실 야구장,0
2021,09,08,수, SSG,LG,인천SSG 랜더스필드,0
2021,09,05,일,LG,KT,서울 잠실 야구장,0
2021,09,04,토,LG,KT,서울 잠실 야구장,0
2021,09,03,금,LG,NC,서울 잠실 야구장,0
2021,09,02,목,LG,NC,서울 잠실 야구장,0
2021,08,31,화,롯데,LG,부산 사직 야구장,0
2021,08,29,일,LG,키움히어로즈,서울 잠실 야구장,0
2021,08,28,토,LG,키움히어로즈,서울 잠실 야구장,0
2021,08,27,금,LG,삼성,서울 잠실 야구장,0
2021,08,26,목,LG,삼성,서울 잠실 야구장,0
2021,08,25,수,LG,삼성,서울 잠실 야구장,0
2021,08,22,일,NC,LG,창원NC파크,0
2021,08,20,금,NC,LG,창원NC파크,0
2021,08,19,목,KT,LG,수원케이티위즈파크,0
2021,08,18,수,KT,LG,수원케이티위즈파크,0
2021,08,17,화,KT,LG,수원케이티위즈파크,0
2021,08,15,일,LG,롯데,서울 잠실 야구장,0
2021,08,14,토,LG,롯데,서울 잠실 야구장,0
2021,08,13,금,LG,롯데,서울 잠실 야구장,0
2021,08,11,수,LG, SSG,서울 잠실 야구장,0
2021,08,10,화,LG, SSG,서울 잠실 야구장,0
2021,07,05,월,LG,한화,서울 잠실 야구장,2075
2021,07,04,일,LG,한화,서울 잠실 야구장,3428
2021,07,02,금,LG,한화,서울 잠실 야구장,4589
2021,07,01,목,LG,KT,서울 잠실 야구장,2919
2021,06,30,수,LG,KT,서울 잠실 야구장,0
2021,06,27,일,삼성,LG,대구 삼성 라이온즈 파크,8007
2021,06,26,토,삼성,LG,대구 삼성 라이온즈 파크,8162
2021,06,26,토,삼성,LG,대구 삼성 라이온즈 파크,3445
2021,06,24,목, SSG,LG,인천SSG 랜더스필드,4253
2021,06,23,수, SSG,LG,인천SSG 랜더스필드,3587
2021,06,22,화, SSG,LG,인천SSG 랜더스필드,3625
2021,06,20,일,LG,KIA,서울 잠실 야구장,6602
2021,06,19,토,LG,KIA,서울 잠실 야구장,7405
2021,06,18,금,LG,KIA,서울 잠실 야구장,4860
2021,06,17,목,키움히어로즈,LG,서울고척스카이돔,1739
2021,06,16,수,키움히어로즈,LG,서울고척스카이돔,1445
2021,06,15,화,키움히어로즈,LG,서울고척스카이돔,1348
2021,06,13,일,LG,두산,서울 잠실 야구장,2472
2021,06,12,토,LG,두산,서울 잠실 야구장,2472
2021,06,11,금,LG,두산,서울 잠실 야구장,2472
2021,06,10,목,LG,NC,서울 잠실 야구장,1624
2021,06,09,수,LG,NC,서울 잠실 야구장,1736
2021,06,08,화,LG,NC,서울 잠실 야구장,1847
2021,06,06,일,KIA,LG,광주-기아 챔피언스 필드,1807
2021,06,05,토,KIA,LG,광주-기아 챔피언스 필드,2983
2021,06,04,금,KIA,LG,광주-기아 챔피언스 필드,1230
2021,06,02,수,LG,KT,서울 잠실 야구장,1820
2021,06,01,화,LG,KT,서울 잠실 야구장,1656
2021,05,30,일,LG,키움히어로즈,서울 잠실 야구장,2472
2021,05,29,토,LG,키움히어로즈,서울 잠실 야구장,2429
2021,05,28,금,LG,키움히어로즈,서울 잠실 야구장,2409
2021,05,27,목,롯데,LG,부산 사직 야구장,1310
2021,05,26,수,롯데,LG,부산 사직 야구장,1536
2021,05,23,일, SSG,LG,인천SSG 랜더스필드,2300
2021,05,22,토, SSG,LG,인천SSG 랜더스필드,2300
2021,05,21,금, SSG,LG,인천SSG 랜더스필드,2300
2021,05,20,목,LG,NC,서울 잠실 야구장,1929
2021,05,19,수,LG,NC,서울 잠실 야구장,2472
2021,05,18,화,LG,NC,서울 잠실 야구장,2428
2021,05,17,월,LG,삼성,서울 잠실 야구장,1975
2021,05,15,토,LG,삼성,서울 잠실 야구장,2455
2021,05,14,금,LG,삼성,서울 잠실 야구장,2472
2021,05,13,목,KIA,LG,광주-기아 챔피언스 필드,1168
2021,05,12,수,KIA,LG,광주-기아 챔피언스 필드,1337
2021,05,11,화,KIA,LG,광주-기아 챔피언스 필드,1047
2021,05,09,일,LG,한화,서울 잠실 야구장,2472
2021,05,09,일,LG,한화,서울 잠실 야구장,2472
2021,05,08,토,LG,한화,서울 잠실 야구장,0
2021,05,06,목,두산,LG,서울 잠실 야구장,2427
2021,05,05,수,두산,LG,서울 잠실 야구장,2427
2021,05,02,일,삼성,LG,대구 삼성 라이온즈 파크,7033
2021,05,01,토,삼성,LG,대구 삼성 라이온즈 파크,7033
2021,04,30,금,삼성,LG,대구 삼성 라이온즈 파크,4161
2021,04,29,목,LG,롯데,서울 잠실 야구장,2472
2021,04,28,수,LG,롯데,서울 잠실 야구장,2455
2021,04,27,화,LG,롯데,서울 잠실 야구장,2347
2021,04,25,일,한화,LG,대전한밭종합운동장,1300
2021,04,24,토,한화,LG,대전한밭종합운동장,1300
2021,04,23,금,한화,LG,대전한밭종합운동장,1300
2021,04,22,목,LG,KIA,서울 잠실 야구장,2472
2021,04,21,수,LG,KIA,서울 잠실 야구장,2457
2021,04,20,화,LG,KIA,서울 잠실 야구장,2453
2021,04,18,일,LG,두산,서울 잠실 야구장,2472
2021,04,17,토,LG,두산,서울 잠실 야구장,2472
2021,04,16,금,LG,두산,서울 잠실 야구장,2442
2021,04,15,목,키움히어로즈,LG,서울고척스카이돔,1354
2021,04,14,수,키움히어로즈,LG,서울고척스카이돔,1311
2021,04,13,화,키움히어로즈,LG,서울고척스카이돔,1479
2021,04,11,일,LG, SSG,서울 잠실 야구장,2454
2021,04,10,토,LG, SSG,서울 잠실 야구장,2431
2021,04,09,금,LG, SSG,서울 잠실 야구장,2414
2021,04,08,목,KT,LG,수원케이티위즈파크,1605
2021,04,07,수,KT,LG,수원케이티위즈파크,1706
2021,04,06,화,KT,LG,수원케이티위즈파크,1956
2021,04,04,일,NC,LG,창원NC파크,4376
전종목,합계,251719,,,,,
,평균,1748,,,,,
